City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
234,Holme,DK,2020-04-04 8:02,56.11,10.17,50,100,100,16.11,light rain,0,0
235,Khakhea,BW,2020-04-04 8:02,-24.69,23.5,93.52,11,0,7.96,clear sky,0,0
236,Hambantota,LK,2020-04-04 8:02,6.12,81.12,87.8,70,75,4.7,broken clouds,0,0
237,Springbok,ZA,2020-04-04 8:02,-29.67,17.88,82.4,9,0,8.05,clear sky,0,0
238,Shasta Lake,US,2020-04-04 8:02,40.68,-122.36,52,37,1,2.15,clear sky,0,0
239,Tepalcatepec,MX,2020-04-04 8:02,19.19,-102.85,63.77,79,100,3.65,overcast clouds,0,0
240,Sehithwa,BW,2020-04-04 8:02,-20.47,22.7,93.51,24,0,9.22,clear sky,0,0
241,Udachnyy,RU,2020-04-04 8:02,66.42,112.4,-9.41,76,75,4.47,broken clouds,0,0
242,Santa Cruz,BR,2020-04-04 8:02,-6.22,-36.02,71.67,89,79,7.4,broken clouds,0,0
243,Kenai,US,2020-04-04 8:02,60.55,-151.26,37,70,90,5.82,overcast clouds,0,0
244,Evensk,RU,2020-04-04 8:02,61.92,159.24,27.03,79,97,11.18,overcast clouds,0,0
245,Banda Aceh,ID,2020-04-04 8:02,5.56,95.32,85.86,62,66,1.41,light rain,0.5,0
246,Beloha,MG,2020-04-04 8:02,-25.17,45.06,97.95,17,8,11.27,clear sky,0,0
247,Waingapu,ID,2020-04-04 8:02,-9.65,120.26,82.96,71,61,15.23,broken clouds,0,0
248,Dongzhen,CN,2020-04-04 8:02,43.33,129.73,31.64,49,0,1.97,clear sky,0,0
249,Celestun,MX,2020-04-04 8:02,20.87,-90.4,79.39,82,82,15.41,broken clouds,0,0
250,Samoded,RU,2020-04-04 8:02,63.61,40.52,26.11,84,78,9.08,broken clouds,0,0
251,Yanam,IN,2020-04-04 8:02,16.73,82.22,91.4,41,0,3.36,clear sky,0,0
